ChoiceId,FromLocationId,ToLocationId,ChoiceText
1,1,2,"Go to the Forest from Town"
2,1,9,"Exit through the Gate from Town"
3,2,3,"Enter the Cave from Forest"
4,2,8,"Explore the Hidden Grove from Forest"
5,3,4,"Walk to the Lake from Cave"
6,4,5,"Climb the Mountain from Lake"
7,5,6,"Travel to the Desert from Mountain"
8,6,7,"Visit the Stables from Desert"
9,7,10,"Check in at the Inn from Stables"
10,10,1,"Return to Town from Inn"
11,3,5,"Search for treasure in the Cave from Lake"
12,4,2,"Return to Forest from Lake"
13,5,8,"Descend to Hidden Grove from Mountain"
14,6,3,"Venture back into the Cave from Desert"
15,7,9,"Ride through the Gate from Stables"
16,8,4,"Gather herbs in the Hidden Grove from Lake"
17,9,1,"Return to Town through the Gate from Gate"
18,2,6,"Cross the Desert from Forest"
19,3,7,"Explore the Stables from Cave"
20,4,10,"Travel to the Inn from Lake"
21,5,2,"Backtrack to Forest from Mountain"
22,6,8,"Discover Hidden Grove from Desert"
23,7,3,"Sneak into the Cave from Stables"
24,8,5,"Climb the Mountain from Hidden Grove"
25,9,6,"Journey into the Desert from Gate"
26,10,2,"Return to Forest from Inn"
27,1,7,"Ride to the Stables from Town"
28,2,10,"Head to the Inn from Forest"
29,3,1,"Go back to Town from Cave"
30,4,6,"Travel to Desert from Lake"
